navio_/_viagem.1,início_operação,fim_operação,tempo_porto
SEBASTIAO CABOTO,2024-09-09 21:53:00,2024-10-09 09:02:00,707.15
DELIGHT DIVA,2024-11-09 07:00:00,2024-12-10 23:55:00,760.9166666666666
MAERSK GANGES,2024-01-10 04:30:00,2024-02-10 06:07:00,745.6166666666667
GREEN RIO DE JANEIRO,2024-02-10 13:09:00,2024-03-10 11:33:00,694.4
AMERICO VESPUCIO,2024-02-10 21:28:00,2024-03-10 11:55:00,686.45
MSC CADIZ,2024-03-10 18:23:00,2024-04-10 08:25:00,734.0333333333333
SUAPE EXPRESS,2024-03-10 19:55:00,2024-05-10 04:19:00,1448.4
MSC ATHENS,2024-04-10 15:01:00,2024-05-10 12:02:00,717.0166666666667
CMA CGM MAUPASSANT,2024-05-10 08:51:00,2024-06-10 02:12:00,737.35
LOGIN ENDURANCE,2024-05-10 21:01:00,2024-06-10 12:58:00,735.95
MSC MARIAGRAZIA,2024-06-10 08:11:00,2024-07-10 18:09:00,729.9666666666667
BARTOLOMEU DIAS,2024-06-10 17:44:00,2024-08-10 04:13:00,1450.4833333333333
MONTE PASCOAL,2024-08-10 09:26:00,2024-09-10 05:52:00,740.4333333333333
PEDRO ALVARES CABRAL,2024-08-10 19:47:00,2024-09-10 02:58:00,727.1833333333333
MSC ATHOS,2024-09-10 08:57:00,2024-10-10 00:57:00,712.0
LOGIN POLARIS,2024-09-10 11:55:00,2024-10-10 08:02:00,716.1166666666667
CMA CGM MERCANTOUR,2024-10-10 06:25:00,2024-11-10 00:01:00,737.6
COSCO SHIPPING GRACE,2024-10-10 14:35:00,2024-11-10 03:13:00,732.6333333333333
MSC VITA,2024-11-10 05:25:00,2024-12-10 08:56:00,723.5166666666667
LOGIN DISCOVERY,2024-11-10 12:03:00,2024-12-10 16:18:00,724.25
CORCOVADO,2024-01-11 11:05:00,2024-02-11 20:30:00,753.4166666666666
LOGIN ENDURANCE,2024-01-11 15:24:00,2024-02-11 15:23:00,743.9833333333333
GREEN KEMI,2024-03-11 00:12:00,2024-06-11 02:44:00,2210.5333333333333
BARTOLOMEU DIAS,2024-03-11 08:20:00,2024-04-11 02:35:00,738.25
HANS SCHULTE,2024-04-11 10:32:00,2024-05-11 08:57:00,718.4166666666666
CISNES,2024-05-11 14:06:00,2024-06-11 04:56:00,734.8333333333334
GREEN RIO GRANDE,2024-06-11 20:24:00,2024-07-11 03:53:00,703.4833333333333
MSC ALIYA,2024-07-11 04:12:00,2024-08-11 19:42:00,759.5
MONTE TAMARO,2024-07-11 20:27:00,2024-08-11 08:26:00,731.9833333333333
BF HAMBURG,2024-08-11 21:01:00,2024-09-11 10:16:00,733.25
LOGIN DISCOVERY,2024-09-11 14:42:00,2024-10-11 10:55:00,716.2166666666667
MSC CLEA,2024-09-11 16:08:00,2024-11-11 03:05:00,1450.95
LOGIN JACARANDA,2024-10-11 16:11:00,2024-11-11 02:42:00,730.5166666666667
MSC LEVINA III,2024-01-12 05:59:00,2024-07-12 06:54:00,4368.916666666667
GREEN PORTOCEL,2024-01-12 17:15:00,2024-02-12 02:09:00,728.9
TRAIGUEN,2024-02-12 21:36:00,2024-04-12 05:59:00,1424.3833333333334
MSC ADONIS,2024-03-12 03:25:00,2024-04-12 13:13:00,753.8
MSC SAVONA,2024-04-12 10:51:00,2024-05-12 03:07:00,712.2666666666667
CORELLA ARROW,2024-04-12 18:00:00,2024-05-12 09:30:00,711.5
MSC DOUALA VIII,2024-05-12 19:33:00,2024-07-12 15:55:00,1460.3666666666666
LOGIN DISCOVERY,2024-07-12 12:53:00,2024-09-12 00:18:00,1475.4166666666667
MSC SANTA MARIA,2024-08-12 04:57:00,2024-09-12 14:57:00,754.0
MAERSK LOTA,2024-09-12 19:58:00,2024-10-12 15:30:00,715.5333333333333
MAERSK GANGES,2024-10-12 04:59:00,2024-11-12 10:37:00,749.6333333333333
MSC ORION,2024-11-12 10:44:00,2024-12-12 01:21:00,710.6166666666667
LOGIN JATOBA,2025-02-01 21:27:00,2025-03-01 09:30:00,660.05
MAERSK GANGES,2025-06-01 14:13:00,2025-07-01 01:33:00,707.3333333333334
CMA CGM AMAZON,2025-06-01 23:26:00,2025-07-01 12:49:00,709.3833333333333
ALESSIA,2025-09-01 21:00:00,2025-10-01 05:37:00,704.6166666666667
LOGIN DISCOVERY,2025-10-01 15:07:00,2025-11-01 11:42:00,740.5833333333334
MSC EUGENIA,2025-11-01 19:38:00,2025-12-01 07:34:00,707.9333333333333
JIN RUI 82,2025-01-02 13:00:00,2025-06-02 03:30:00,3614.5
LOGIN JATOBA,2025-01-02 19:15:00,2025-02-02 02:09:00,726.9
BARTOLOMEU DIAS,2025-02-02 16:29:00,2025-03-02 13:45:00,669.2666666666667
BF HAMBURG,2025-03-02 14:24:00,2025-05-02 10:26:00,1460.0333333333333
MAERSK LAMANAI,2025-03-02 23:28:00,2025-04-02 15:36:00,736.1333333333333
